GIVING THE CORRECT ANSWER,What Are You Doing?,9/12/16,#6436,T1
HALL MONITOR,Person,9/12/16,#6436,T2
SOLVING CROSSWORD PUZZLES,Fun & Games,9/12/16,#6436,R1
HEARTWARMING HANDWRITTEN LETTER,Thing,9/12/16,#6436,R2
DINING EUROPE CABINS DECK,Welcome Aboard!,9/12/16,#6436,R3*^
CHESTNUT TREE,Living Thing,9/12/16,#6436,T3
ADD THAT TO MY WISH LIST,Phrase,9/12/16,#6436,R4
TIDY UP THE HOUSE,Phrase,9/12/16,#6436,BR
ARTS & CRAFTS,Things,9/13/16,#6437,T1
TEAM OF ALL-STARS,People,9/13/16,#6437,T2
LIKE NOTHING ELSE ON TELEVISION,Show Biz,9/13/16,#6437,R1
A B C EASY AS ONE TWO THREE,Song Lyrics,9/13/16,#6437,R2
LANDSCAPE ADVENTURE MAP SURF,Two Tickets to Paradise,9/13/16,#6437,R3*^
SUMMER SCHOOL,Place,9/13/16,#6437,T3
SHUFFLING THE CARDS,What Are You Doing?,9/13/16,#6437,R4
WHIMSICAL RHYME,Thing,9/13/16,#6437,BR
PHYSICAL EDUCATION,Thing,9/14/16,#6438,T1
PHYSICAL EDUCATION,Thing,9/14/16,#6438,T1
FLAT-HEAD SCREWDRIVER,Around the House,9/14/16,#6438,T2
WHEN YOU COME TO A FORK IN THE ROAD TAKE IT,Quotation,9/14/16,#6438,R1
QUIRKY QUIZ QUESTIONS,Same Letter,9/14/16,#6438,R2
FROZEN STRAWBERRY MARGARITA,Food & Drink,9/14/16,#6438,R3*
DANGEROUS MINDS,Movie Title,9/14/16,#6438,T3
I'M DRAWING A BLANK,Phrase,9/14/16,#6438,R4
PIANO MUSIC,Thing,9/14/16,#6438,BR
VICE PRINCIPAL,Occupation,9/15/16,#6439,T1
STACK OF PAPER,Thing,9/15/16,#6439,T2
ACTIONS SPEAK LOUDER THAN WORDS,Phrase,9/15/16,#6439,R1
ERASERS ATTENDANCE PEN EXAM,Class Is In Session,9/15/16,#6439,R2^
HOT SPICY JERK CHICKEN,Food & Drink,9/15/16,#6439,R3*
THE RHINE RIVER,On the Map,9/15/16,#6439,T3
SCIENCE FICTION FAN,Person,9/15/16,#6439,R4
BRIDGING THE GAP,What Are You Doing?,9/15/16,#6439,R5
CARPOOLING TO WORK,What Are You Doing?,9/15/16,#6439,BR
CONCENTRATION,Fun & Games,9/16/16,#6440,T1
THE BEGINNING OF AN ERA,Event,9/16/16,#6440,T2
AMERICAN AUTHOR MARK TWAIN,Proper Name,9/16/16,#6440,R1
SPRING BREAK DANCING,Before & After,9/16/16,#6440,R2
SPENDING THE DAY ON THE BAY,Rhyme Time,9/16/16,#6440,R3*
STAY IN TOUCH,Phrase,9/16/16,#6440,T3
CHEWING BUBBLE GUM,What Are You Doing?,9/16/16,#6440,R4
PHOTO OPPORTUNITY,Thing,9/16/16,#6440,R5
ACTIVEWEAR,Thing,9/16/16,#6440,BR
THE GRAND CANYON,Landmark,9/19/16,#6441,T1
EAGER BEAVER,Rhyme Time,9/19/16,#6441,T2
AMAZING ROCK FORMATIONS,Things,9/19/16,#6441,R1
GRILLED SWORDFISH FILLET,Food & Drink,9/19/16,#6441,R2
I'M VERY BUSY SUNBATHING,Phrase,9/19/16,#6441,R3*
REACHING THE SUMMIT,Event,9/19/16,#6441,T3
VAST MEADOWS,Places,9/19/16,#6441,R4
SPECIAL APPEARANCE,Show Biz,9/19/16,#6441,R5
